order	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Helotiales	6.31161984976e-06	4.90368295263e-05	0	1.90339765122e-05	2.92927967207e-06	4.35627205153e-05	0	1.80289608776e-05	0	0.00239369962717	0	3.49892643434e-05	0.000164563203878	0.000124553257257	1.30766664247e-05	0.000215439127454	0.0001348100440551	9.32556789731e-05	0.000106024937332	0	7.9063453364e-05	0	0	0.000456190604161	0.000188286621814
Herpesvirales	0	0	0	0	0	0	0	0.04152049151193	0	0.121687250699	0	0	0	0	0.278571643938	0	0.0143093234564	0.0152264361356	0	0.0320806179005	0	0.00843029484231	0.00210275805066	0	0.2362967185286
Herpetosiphonales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00402522467631	0
Hydrogenophilales	0	0	0.0103667474107	0.000548294951104	0.222006864728	0.0288620747793	0	0.0207737741328	0	0	0	0	0	0	0.00188343990372	0	0.0142171181554	0.00123256410506	0	0	0	0	0	0	0.00180793547501
Hypocreales	2.598429927435e-05	0.000200688537347	0.000631894319434	0	7.99226293854e-06	5.31068943994e-05	2.03068070331e-05	0.0003529059154144	0.00052939015521	0.000392879366246	0.0004342131739387	0.0002034968505089	5.79578842179e-05	0.003273137708881	3.56784493546e-05	0.001685158555468	0.0001006342300507	0.0003191459844768	0.001901770355036	0	0.0003516579801957	4.17547456779e-05	0	0.000177810425707	2.85401258597e-05
Ichthyophonida	0	0.000101378742677	0.000248005357138	5.24677914018e-05	4.03732858169e-06	4.00273642492e-05	1.36774366356e-05	3.72730742014e-05	0.000376363495373	0.000235654032064	9.70396922274e-05	0	0.000103096355184	0.000343335209853	1.80231336778e-05	0	3.58019360607e-05	5.89736566273e-05	7.30653194271e-05	8.02657256551e-05	0.000217941047471	1.0546301432e-05	2.0360531208e-05	0.000112277198484	2.88343531099e-05
Ignavibacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0.000342710330649	0	0	0	0	0	0	0	0	0	0.001486002444109	0	0
Isochrysidales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326406717161	0	0	0	0	0	0	0	0	0	0
Kineosporiales	0	0	0	0	0	0.000245557248579	0	0	0	0	0	0.000591689456972	0	0	0	0	0	0	0.00537883594635	0	0.000668505221032	0	0	0.0088165221424	0
Lactobacillales	0.0026289279707587	3.3634956529065	1.62165314610157	1.75839266523334	0.526248118576786	3.82919844689464	0.022984964974302	1.07556218236999	1.21988955725459	0.19775045368612	1.49378406199104	0.18583658619228	1.75534733698473	1.56525274957639	1.897626715267	0.24888032752608	0.146862423468686	0.23076727802149	4.49758795003432	0.98173479373936	0.09297761778844	2.17611887308231	2.55539708443588	0.19187893125279	0.127821119455608
Legionellales	0	0	0	0	0.00191286232394	0.00170160345037	0	0.000735823390544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lentisphaerales	0	0	0	0.000264882268731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magnaporthales	0	0	0.000190236280712	0	0	3.070359846e-05	9.50227002264e-06	3.45268220522e-05	0	0	0	6.70070844307e-05	0	0	0	0	0	9.04732803055e-05	0	0.000123138090996	0.000167174994782	6.47176071628e-05	1.13162295244e-05	0	0
Malasseziales	0.000360554182392	0.004011030833131	0.008988557029862	0.00206821426586	0.0009292386530466	0.002958566147933	0.001136709238816	0.004631042668702	0.00829707291196	0.0309639506386	0.01357949644382	0.00672729086909	0.000270928566336	0.04011491971443	0.01084227931184	0.01762212180579	0.004061532210286	0.014748735739288	0.02032109067429	0.005818205388146	0.010130514625263	0.004175705280856	0.000486905237807	0.00596014249316	0.00151548518575
Mamiellales	0	0	0.000357250163109	0	0	0	0	0	0.000361432838017	0	0	0	0	0.000494572218668	0	0.000427729509448	0	0.000169902365759	0	0	0	6.07675245446e-05	0	0	0
Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0.00998727433738	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanopyrales	0	0	0	0.00094133150313	0	0	0	0.000891628127832	0	0	0	0	0	0	0.000646710793909	0	0	0	0	0	0	0	0	0	0
Methanosarcinales	0	0	0	0	0	0	0	0	0	0	0	0.003727345277114	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylococcales	3.99206894005e-05	0	0	0	0	0.000609262232029	8.23293600404e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylophilales	4.31130440747e-05	0	0	0	0.001424939647152	0.024604732414658	0	0.00813695024267	0	0.00696566289473	0	0	0	0.00351338765355	0.000358214472624	0.0063087718848	0	0	0	0	0	0	0.000371721518059	0	0
Micrococcales	0.0002580365860737	0.23954646563212	0.14170426922369	0.02211772402427	0.0036678342224516	0.070252898711462	0.003086681476327	0.121956677560302	0.20430282955132	0.09216648520409	0.55680995687985	0.178934739553589	0.033799293108762	0.2946662442415	0.231648211311601	0.30268049845615	0.186874716325957	0.09760718525839	0.41825824087086	0.44420229231046	0.212356113021814	0.314041071360985	0.064118303338659	0.166405751404405	0.066369554066463
Micromonosporales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000248171129455	0	0	0	0	0	0.0002547232362923	0.018935497776231	0
Mortierellales	0	9.80672359172e-05	0.000359856502828	0	2.34327025987e-05	0	1.98460007967e-05	0	0.000546104539032	0.00250752108794	0	0	5.98372458706e-05	0.000249090199787	2.61516199898e-05	0.000215425017706	5.1948714552e-05	0	0	0.000116465804064	0	6.12108576182e-05	1.18172762731e-05	6.5165818126e-05	0.000125516193576
Mucorales	0	0	0	4.36065439646e-05	2.546038876279e-05	6.65343431575e-05	1.13674642298e-05	4.13040687867e-05	0	0.000783418370402	0.000161301457232	0	0.000102821383362	0.000285349573959	2.99584392674e-05	0.00222105459658	0	9.80272766117e-05	0.000728704444102	0	0.000362266282393	0	2.70749692501e-05	0.000149303653494	0.0001240276698187
Mycoplasmatales	0	0	0	0.01154619185815	0.001814189040261	0	0	0	0	0	0	0	0.001282808475	0	0	0	0	0	0	0	0	0.00211728797156	0.002361363607925	0	0
Myxococcales	0	0	0.000748100263399	0.000602752900268	0	0	0	0	0.000743571645123	0.00093115117941	0	0	0	0	0.000839478062608	0	0	0	0	0.000475736768359	0	0	9.78530734359e-05	0.000517486396817	0
Nakamurellales	0	0	0	0	0	0	0	0	0	0	0	0.000483938341657	0	0	0	0	0.000359276221475	0	0	0	0	0	0	0.000450685432884	0
Natranaerobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00103033641093	0	0	0	0	0	0	0	0.00186233510994	0	0
Natrialbales	0	0	0.00193917046996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nautiliales	0	0	0	0.00095167723072	0	0.002183684068567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00413622373859	0	0
Naviculales	0	0.00391364078274	0.00430831685699	0.00328126917062	0.000467572985424	0.0076024952312	0.00232850599954	0.0010360048073	0.0127856916297	0.00582222398837	0.00651827560111	0.000558500266903	0.000191037492656	0	0	0	0.000829262111775	0	0	0.000371830869967	0.00719348279015	4.88557277016e-05	0	0.000312074385791	6.67875516871e-05
Neisseriales	0.0003605059938329	0.02312856427223	0.05459573490727	0.212439740105949	0.292500340747092	0.321975921918001	0.002828666366466	0.113059234702266	0.04824715790807	0.13269484972558	0.42947245263827	0.024037229392564	0.00640942540272	0.09669941100619	0.030402412664479	0.01448251749002	0.025676507732111	0.05057432322104	0.06707080200406	0.06503550882501	0.05398020700394	0.008820627481613	0.072594039274237	0.02949021704104	0.01324408305028
Nitrosomonadales	0	0	0	0.01467696356244	0.0805805705109413	0.016447379092	0.001194445246585	0.097233778097968	0	0.00343455051471	0	0.00210855220464	0	0	0	0	0.00860964986677	0	0.00319468156239	0.0140380380653	0	0	0.005084799420831	0	0
Nitrospirales	0	0	0	0.00073912573994	0	0.000281937303135	0	0	0	0	0	0	0	0	0.000547004908448	0	0	0	0	0	0	0	0.002559485035251	0	0
Nostocales	0	0	0	0	0	0	0	0.000569651504621	0	0	0	0.00497491743776	0	0	0	0	0.000240343863647	0	0.000980997292431	0	0	0	0	0	0
Oceanospirillales	0	0.000834029154904	0.00198987969635	0.000340590511694	0.0002129666290912	0.000299694171129	0	0.00432073081432	0	0	0	0	0.000647982215577	0	0.001567877815336	0.01301085263393	0	0	0.00180329539524	0	0	0.000260288970994	0.000713718591092	0.000738855116496	0
Onygenales	0	0.021406496081386	0.005454854757117	0.0047579154385105	0.0012289766987519	0.0046454133224273	0.00026290977415684	0.0022313632487056	0.011811639404539	0.005716284189954	0.004722775524407	0.004343725805227	0.0018582009784911	0.003326336057556	0.0047941314251243	0.010907185525636	0.0007067354423647	0.0022177696138651	0.013563903726162	0.01444946098774	0.0011689874523	0.000612982253637	0.0040897806722317	0.0009547615032444	0.0003962209452549
Oscillatoriales	0	0	0.00161100937985	0	0	0	0	0	0	0.00477452039875	0	0	0	0	0	0	0.000362686503896	0	0	0	0	0	7.03794633929e-05	0	0
Pasteurellales	0.0001408622437181	0.00382496254408	0.0264335866971	0.55980255515354	0.324438261273546	0.22408416406136	0.000199293998854	0.061682202394056	0.33903558100501	0.0228914406734	0.10288630775701	0.01410951728813	0.308588864319652	0.0350191736356	0.01772406979704	0.00432660601715	0.01221738398958	0.0399383403707	0.0044752234039	0.0233910459436	0.03918757831641	0.084717801701668	0.072395660257446	0.0492585590032	0.00336116404775
Pelagibacterales	0	0.0287940823029	0	0.00993477109691	0	0	0.00485591488143	0	0	0.0148736891978	0	0.0205454505717	0.0165930919325	0.024378932972	0.00682535714786	0	0.0101686395621	0	0	0	0.020633557859	0.0169739996042	0.00539737039015	0	0.00136494547522
