species	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Enterococcus casseliflavus	0	0	0	0	0	0	0	0.000441447175768	0.00222874830765	0.00279099079273	0	0	0	0.00304974224648	0.00128075211895	0	0	0.00104769011091	0	0	0	0	0	0	0
Enterococcus faecalis	0	1.89632823139305	0.32576891251467	0.56196573366	0.28685146846122	0.785594610305	0.00670763047342	0.507433450927	0.408525091139	0	0	0.0501381549898	0.373335610873	0.798106968847	0.412242974683	0.0961094724	0.0182601470053	0	0.441454972211	0.415679370964	0	1.407062617952	1.78406232062	0	0.0554320190074
Enterococcus faecium	0	0	0	0	0	0	0	0.00643572284424	0	0	0	0	0.000821586564847	0	0	0	0.00360509866025	0	0	0	0	0.00807094549156	0.00472478755777	0	0
Enterococcus gallinarum	0	0	0	0	7.83342340945e-05	0	0	0.00289276204385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000158018014701	0	0
Enterococcus hirae	0	0.00143895256469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus phage phiEF24C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0735362687017	0	0	0	0	0	0	0	0	0	0	0
Enzootic nasal tumour virus of goats	0.0179532326192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eremothecium gossypii	0	0	0	0	0.000107698078556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erwinia billingiae	0	0	0	0	4.57038061092e-05	0.000226561061069	0.000154832805757	0	0	0.00177845093563	0	0	0	0	0	0.00168068419745	0	0	0	0.000908632797239	0	0	0	0	0.000652827560181
Erwinia pyrifoliae	0	0	0	0	0.01196258763518	0.00296232853892	0	0.0178100513287	0	0	0	0	0	0	0	0	0.00105984592222	0	0	0	0	0	0	0	0
Erwinia sp. Ejp617	0	0	0.0457317817908	0	0.0165025686243	0	0	0	0	0.00241412320391	0	0	0	0	0.000553906056744	0	0	0	0	0	0	0	0	0	0
Erwinia tasmaniensis	0	0	0	0	0	0	0	0.000371495426934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121758310455	0	0
Erysipelothrix rhusiopathiae	0	0	0.164497170452	0.00624631074719	0.0976397043148	0.123897100852	0	0	0	0	0	0.0803760961012	0	0	0	0	0	0	0	0	0	0	0.189759018751	0	0
Erythrobacter litoralis	0	0.0228917684672	0.00494123880904	0.00940827654218	0	0	0	0	0	0	0	0.000960821807663	0.00369735029489	0	0	0	0.000713314897485	0.00117498639627	0	0	0.00108555997971	0	0.00178491098665	0.00626360526798	0.000574493334598
Erythrobacter sp. SD-21	0	0.00968468257054	0.00761524762994	0.00429619992872	0	0.000819386307483	0	0	0	0	0.00397293184725	0	0.00253253972746	0	0.000368945326043	0	0.000732889030788	0	0	0	0	0.000431779366442	0	0.00183871010857	0
Escherichia coli	0.0402488290292942	4.74016675157686	12.2912548538452	0.476840001321144	2.50093042794141	2.45032609759009	0.03611339704405	3.63075224958398	9.33952640653252	0.15519443554359	0.363048883264	0.287743196395084	1.53069401926868	4.84049505984978	0.765766631645345	15.6340887613843	8.44403955425977	5.86602927300741	3.85634596357106	4.14573769744252	5.23405057050047	1.06208378964281	4.26987469886622	5.37036765631093	3.18594185373928
Escherichia fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000468860064169	0	0	0	0	0	0	0	0
