order	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Flavobacteriales	5	3	2	82	7	15	30	2	1	3	17	4	9	0	284	0	2	6	0	1	7	117	40	3	2
Frankiales	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0
Fusobacteriales	1586040	1585	124	714	2895	218	9	253	118	6	39	18	1	423	5419	105	122	459	1925	1372	106	14071	82906	74	53
Gallionellales	0	1	0	0	1591	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmatimonadales	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Geodermatophilales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	3	0	0	0	14	0
Gracilariales	0	0	0	2	88	18	0	0	0	0	4	0	12	0	0	0	0	0	0	0	0	0	13	0	0
Haemosporida	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1
Halanaerobiales	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	1	0	0	0	0	0	0
Halobacteriales	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Helotiales	3	1	0	1	1	3	0	1	0	21	0	1	11	1	1	2	3	1	1	0	2	0	0	14	9
Herpesvirales	0	0	0	0	0	0	0	5	0	3	0	0	0	0	50	0	1	1	0	1	0	1	1	0	29
Herpetosiphonales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Hydrogenophilales	0	0	4	1	2631	69	0	40	0	0	0	0	0	0	5	0	19	1	0	0	0	0	0	0	3
Hypocreales	10	3	4	0	2	2	3	10	4	2	3	4	2	19	2	11	2	5	12	0	5	2	0	4	1
Ichthyophonida	0	3	4	4	2	4	4	3	6	3	2	0	10	4	2	0	2	2	1	2	8	1	5	5	2
Ignavibacteriales	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0
Isochrysidales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Kineosporiales	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	16	0
Lactobacillales	42	2175	496	2715	5656	7372	133	1833	382	44	538	153	3316	388	4211	71	154	131	1224	501	62	4609	14219	148	183
Legionellales	0	0	0	0	16	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lentisphaerales	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magnaporthales	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	2	2	1	0	0
Malasseziales	17	5	6	6	18	16	17	17	6	15	15	14	1	21	54	10	10	20	13	6	16	17	6	13	4
Mamiellales	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0
Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanopyrales	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Methanosarcinales	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylococcales	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylophilales	1	0	0	0	12	28	0	16	0	2	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0
Micrococcales	5	199	56	34	37	212	23	215	83	30	242	188	63	72	629	107	258	79	151	283	204	795	347	217	126
Micromonosporales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	60	0
Mortierellales	0	1	2	0	4	0	2	0	3	11	0	0	2	1	1	1	1	0	0	1	0	2	1	1	3
Mucorales	0	0	0	1	4	2	1	1	0	3	1	0	3	1	1	9	0	1	3	0	4	0	2	2	3
