genus	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Gaeumannomyces	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Gallibacterium	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gallionella	0	0	0	0	1589	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gammaretrovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gardnerella	0	0	0	0	4	1	0	0	1	2	2	0	0	3	1	0	64	0	0	0	0	0	5	0	0
Geitlerinema	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella	0	0	0	670	546	47	3	4	1	0	19	0	195	0	537	2	18	35	48	0	0	608	10434	20	0
Gemmata	0	0	0	0	8	21	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gemmatimonas	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Geobacillus	0	20	11	18	317	38	9	24	12	14	6	29	45	12	6	17	9	14	22	13	15	5	77	23	4
Geobacter	0	1	0	1	2	3	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0
Geodermatophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	6	0
Gimesia	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Glaciecola	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gluconobacter	0	0	0	0	40	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Gordonia	0	0	0	0	0	1	1	0	0	0	0	4	10	0	1	2	1	1	0	4	0	1	1	0	0
Gottschalkia	0	0	0	20	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0
Gracilaria	0	0	0	2	88	18	0	0	0	0	4	0	12	0	0	0	0	0	0	0	0	0	13	0	0
Granulicatella	0	0	0	68	18	0	0	1	18	0	4	4	11	0	4	0	0	0	18	3	0	684	1807	0	19
Granulicella	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Grimontia	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guillardia	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus	2	1	6	728	1183	357	1	62	86	5	35	10	466	7	27	1	11	23	1	10	11	136	269	37	4
Halanaerobium	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0
Haliscomenobacter	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halobacillus	0	0	0	0	37	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0
Halobacterium	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomonas	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Halorhodospira	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haloterrigena	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halothermothrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Halothiobacillus	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helicobacter	0	3	2	6	10	3	3	0	2	2	4	7	2	4	6	7	6	5	3	4	10	3	8	5	2
Heliobacterium	0	0	0	13	110	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	71	0	0
Hemiselmis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Herbaspirillum	0	6	0	0	36	2	5	0	1	0	0	3	1	0	2	1	1	11	0	0	0	0	1	2	13
Herminiimonas	0	0	0	2	88	7	0	6	1	0	0	7	0	0	3	0	0	0	0	0	0	3	0	2	0
Herpetosiphon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
